;;?What are the airline hubs of <A>;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/hubs> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/hubs> ?uri };606ecd9c542e4d1d8cd5322a41818757;;;;;;;;;;;;;;;
;General;Name the awards won by <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/awards> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/awards> ?uri };1c52f65be95947dab2143ce16d756039;;;;;;;;;;;;;;;
;Music;Name the band atleast one of whose members is famous for playing the <A>?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/notableInstruments> <A> . ?uri <http://dbpedia.org/property/currentMembers> ?x . ?uri a <http://dbpedia.org/ontology/Band> };select distinct ?a where { ?x <http://dbpedia.org/property/notableInstruments> ?a . ?uri <http://dbpedia.org/property/currentMembers> ?x . ?uri a <http://dbpedia.org/ontology/Band> };433e3e8781da456b9fc1184bb9815b88;;;;;;;;;;;;;;;
;Sport;Name the basketball player who played for <A> and <B> was his draft team?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/team> <A> . ?uri <http://dbpedia.org/property/draftTeam> <B> . ?uri a <http://dbpedia.org/ontology/BasketballPlayer> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/ontology/team> ?a . ?uri <http://dbpedia.org/property/draftTeam> ?b . ?uri a <http://dbpedia.org/ontology/BasketballPlayer> };30c6fa7e60404d89919aadfe483c66cc;;;;;;;;;;;;;;;
;Sport;Name the basketball players drafted by <A> ?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/draftTeam> <A> . ?uri a <http://dbpedia.org/ontology/BasketballPlayer> };select distinct ?a where { ?uri <http://dbpedia.org/property/draftTeam> ?a . ?uri a <http://dbpedia.org/ontology/BasketballPlayer> };f9d09b029bdf4189b301584f3e75101c;;;;;;;;;;;;;;;
;Sport;Name the basketball team which is coached by <B> and has president as <A> ?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/coach> <B> . ?uri <http://dbpedia.org/property/president> <A> . ?uri a <http://dbpedia.org/ontology/BasketballTeam> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/property/coach> ?b . ?uri <http://dbpedia.org/property/president> ?a . ?uri a <http://dbpedia.org/ontology/BasketballTeam> };1bdfe333c33d4a9b93c68aff83578281;;;;;;;;;;;;;;;
;;Name the battle fought by the military persons who also fought in <A> ?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/battles> <A> . ?x <http://dbpedia.org/property/battles> ?uri . ?x a <http://dbpedia.org/ontology/MilitaryPerson> };select distinct ?a where { ?x <http://dbpedia.org/property/battles> ?a . ?x <http://dbpedia.org/property/battles> ?uri . ?x a <http://dbpedia.org/ontology/MilitaryPerson> };fe5cca52ae464cf8901728f58148bac7;;;;;;;;;;;;;;;
;;Name the battle fought by the people which also fought in <A> ?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/battles> <A> . ?x <http://dbpedia.org/property/battles> ?uri . ?x a <http://dbpedia.org/ontology/Person> };select distinct ?a where { ?x <http://dbpedia.org/property/battles> ?a . ?x <http://dbpedia.org/property/battles> ?uri . ?x a <http://dbpedia.org/ontology/Person> };aad9f9ceb4364ee9b570d43ca42ce29c;;;;;;;;;;;;;;;
;;Name the branch of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/branch> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/branch> ?uri };785b260edcfd41099d8633106521b324;;;;;;;;;;;;;;;
;Film;Name the broadcast area of  <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/area> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/area> ?uri };67e7b4cfd56449dd8e16839eb9d8325c;;;;;;;;;;;;;;;
;Film;Name the broadcast area of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/broadcastArea> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/broadcastArea> ?uri };e6e376c1a4f14e9abe7402a8a5f35816;;;;;;;;;;;;;;;
;;Name the capital of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/capital> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/capital> ?uri };6a33225c11054b9d90e85013e5e3fc02;;;;;;;;;;;;;;;
;General;Name the cause of death of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/deathCause> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/deathCause> ?uri };278a4dae43ef4c9b888aaf3f0516d0a0;;;;;;;;;;;;;;;
;Sport;Name the chairman of the soccer club for which <A> currently plays?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/currentclub> ?x . ?x <http://dbpedia.org/property/chairman> ?uri . ?x a <http://dbpedia.org/ontology/SoccerClub> };select distinct ?a where { ?a <http://dbpedia.org/property/currentclub> ?x . ?x <http://dbpedia.org/property/chairman> ?uri . ?x a <http://dbpedia.org/ontology/SoccerClub> };0ce4ccee1f484ba7b18881040f845d12;;;;;;;;;;;;;;;
;;Name the champion of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/champion> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/champion> ?uri };1916515a00a74f8b951851aa671a3b0a;;;;;;;;;;;;;;;
;;Name the children of the person who is the star of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/starring> ?x . ?x <http://dbpedia.org/property/children> ?uri . ?x a <http://dbpedia.org/ontology/Person> };select distinct ?a where { ?a <http://dbpedia.org/ontology/starring> ?x . ?x <http://dbpedia.org/property/children> ?uri . ?x a <http://dbpedia.org/ontology/Person> };407e2cde683b484b86e7ee73d945f1fe;;;;;;;;;;;;;;;
;;Name the city of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/city> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/city> ?uri };2ba39b2193c84d1eaafccd6a537a338e;;;;;;;;;;;;;;;
;;Name the city of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/city> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/city> ?uri };6f2c1b486fea4099ad02147fd9c090c8;;;;;;;;;;;;;;;
;;Name the city served by <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/cityServed> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/cityServed> ?uri };bdab35771cbc423897c8ea4079e34696;;;;;;;;;;;;;;;
;Geography;Name the city whose province is <B> and has leader as <A> ?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/province> <B> . ?uri <http://dbpedia.org/ontology/leaderName> <A> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/property/province> ?b . ?uri <http://dbpedia.org/ontology/leaderName> ?a };87b8d216055241b8bfb033091e0b401d;;;;;;;;;;;;;;;
;;Name the city with leader as <B> and neighboring municipality as <A>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/mayor> <B> . ?uri <http://dbpedia.org/ontology/neighboringMunicipality> <A> . ?uri a <http://dbpedia.org/ontology/Location> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/ontology/mayor> ?b . ?uri <http://dbpedia.org/ontology/neighboringMunicipality> ?a . ?uri a <http://dbpedia.org/ontology/Location> };928515f8deaa4a1b9982acd9bd90e877;;;;;;;;;;;;;;;
;Sport;Name the club of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/club> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/club> ?uri };8d63fe63027947458a867a5902c1c0e0;;;;;;;;;;;;;;;
;Music;Name the co-founder of the record labels which have one of the founder as <A> ?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/founder> <A> . ?x <http://dbpedia.org/property/founder> ?uri . ?x a <http://dbpedia.org/ontology/RecordLabel> };select distinct ?a where { ?x <http://dbpedia.org/property/founder> ?a . ?x <http://dbpedia.org/property/founder> ?uri . ?x a <http://dbpedia.org/ontology/RecordLabel> };abdbfd4f0fc94f8abd065f71ee33daaa;;;;;;;;;;;;;;;
;General;Name the college of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/college> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/college> ?uri };b698642c0c4944baad539ca67412e78a;;;;;;;;;;;;;;;
;;Name the college of the <A> which also has affiliation with  <B>;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/college> ?uri . <B> <http://dbpedia.org/property/affiliation> ?uri };select distinct ?a, ?b where { ?a <http://dbpedia.org/ontology/college> ?uri . ?b <http://dbpedia.org/property/affiliation> ?uri };f0ce6eff38b647919c395acd2a7f7451;;;;;;;;;;;;;;;
;;Name the commander of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/commander> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/commander> ?uri };c1fbd40e9d774b85994b633e277b297b;;;;;;;;;;;;;;;
;;Name the commanders of military conflicts where <A> was one of the commander ?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/commander> <A> . ?x <http://dbpedia.org/ontology/commander> ?uri . ?x a <http://dbpedia.org/ontology/MilitaryConflict> };select distinct ?a where { ?x <http://dbpedia.org/property/commander> ?a . ?x <http://dbpedia.org/ontology/commander> ?uri . ?x a <http://dbpedia.org/ontology/MilitaryConflict> };3e8b38a9e2204976a87534f098523f05;;;;;;;;;;;;;;;
;General;Name the common alma mater of the <B> and <A>;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/ontology/education> ?uri . <A> <http://dbpedia.org/ontology/education> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/ontology/education> ?uri . ?a <http://dbpedia.org/ontology/education> ?uri };af78d170c10743f2b8c2008336992a65;;;;;;;;;;;;;;;
;;Name the common architecture of the <B> and <A> ?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/ontology/architecturalStyle> ?uri . <A> <http://dbpedia.org/ontology/architecturalStyle> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/ontology/architecturalStyle> ?uri . ?a <http://dbpedia.org/ontology/architecturalStyle> ?uri };a57fac7c18cc43cf9acdec289160a3f6;;;;;;;;;;;;;;;
;Music;Name the common associate band of <A> and <B> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/associatedBand> ?uri . <B> <http://dbpedia.org/ontology/associatedBand> ?uri };select distinct ?a, ?b where { ?a <http://dbpedia.org/ontology/associatedBand> ?uri . ?b <http://dbpedia.org/ontology/associatedBand> ?uri };f84aac1f48e348e8964388d29ed6a82b;;;;;;;;;;;;;;;
;Sport;Name the common current team of the <B> and <A> ?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/property/currentTeam> ?uri . <A> <http://dbpedia.org/property/currentTeam> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/property/currentTeam> ?uri . ?a <http://dbpedia.org/property/currentTeam> ?uri };d39b6d7deb914f70b8ca353696734df4;;;;;;;;;;;;;;;
;Sport;Name the common current team of the <B> and <A> ?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/property/currentTeam> ?uri . <A> <http://dbpedia.org/property/currentTeam> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/property/currentTeam> ?uri . ?a <http://dbpedia.org/property/currentTeam> ?uri };35a87d039618479c830132847e30888b;;;;;;;;;;;;;;;
;;Name the common distributing label of the <A> and <B> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/distributingLabel> ?uri . <B> <http://dbpedia.org/ontology/distributingLabel> ?uri };select distinct ?a, ?b where { ?a <http://dbpedia.org/ontology/distributingLabel> ?uri . ?b <http://dbpedia.org/ontology/distributingLabel> ?uri };e91032d570294b618d1f2611d193276f;;;;;;;;;;;;;;;
;Film;Name the common editor of <B> and <A>?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/ontology/editing> ?uri . <A> <http://dbpedia.org/ontology/editing> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/ontology/editing> ?uri . ?a <http://dbpedia.org/ontology/editing> ?uri };4fc2bcb888944f50969d6131075914e7;;;;;;;;;;;;;;;
;Sport;Name the common former team of <B> and <A> ?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/property/pastteams> ?uri . <A> <http://dbpedia.org/ontology/formerTeam> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/property/pastteams> ?uri . ?a <http://dbpedia.org/ontology/formerTeam> ?uri };137b3f2da4c048b282d2f6b03106d881;;;;;;;;;;;;;;;
;;Name the common home port of the <A> and <B>?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/homeport> ?uri . <B> <http://dbpedia.org/ontology/homeport> ?uri };select distinct ?a, ?b where { ?a <http://dbpedia.org/ontology/homeport> ?uri . ?b <http://dbpedia.org/ontology/homeport> ?uri };2ac31aab8ba340e8947ddfab3797c6d5;;;;;;;;;;;;;;;
;;Name the common institute of <B> and <A> ?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/ontology/institution> ?uri . <A> <http://dbpedia.org/ontology/institution> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/ontology/institution> ?uri . ?a <http://dbpedia.org/ontology/institution> ?uri };60deb84874954198b4c9b6cc5c85e747;;;;;;;;;;;;;;;
;;Name the common institution of the <A> and <B>?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/institution> ?uri . <B> <http://dbpedia.org/ontology/institution> ?uri };select distinct ?a, ?b where { ?a <http://dbpedia.org/ontology/institution> ?uri . ?b <http://dbpedia.org/ontology/institution> ?uri };c1cdd10d876d429ba602f0b60fc91f53;;;;;;;;;;;;;;;
;Sport;Name the common managing club of the <B> and <A>?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/ontology/managerClub> ?uri . <A> <http://dbpedia.org/ontology/managerClub> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/ontology/managerClub> ?uri . ?a <http://dbpedia.org/ontology/managerClub> ?uri };965b4a0d6fcd45448babd3cd1a9d1850;;;;;;;;;;;;;;;
;Music;Name the common musical band of <A> and <B> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/musicalBand> ?uri . <B> <http://dbpedia.org/ontology/musicalBand> ?uri };select distinct ?a, ?b where { ?a <http://dbpedia.org/ontology/musicalBand> ?uri . ?b <http://dbpedia.org/ontology/musicalBand> ?uri };eec96c7f869747149720de05e392503f;;;;;;;;;;;;;;;
;;Name the common nationality of <A> and <B> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/nationality> ?uri . <B> <http://dbpedia.org/ontology/nationality> ?uri };select distinct ?a, ?b where { ?a <http://dbpedia.org/ontology/nationality> ?uri . ?b <http://dbpedia.org/ontology/nationality> ?uri };0e5778a4027c4c21981d48f093bad188;;;;;;;;;;;;;;;
;Music;Name the common record label of <A> and <B> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/label> ?uri . <B> <http://dbpedia.org/ontology/recordLabel> ?uri };select distinct ?a, ?b where { ?a <http://dbpedia.org/property/label> ?uri . ?b <http://dbpedia.org/ontology/recordLabel> ?uri };9d360f44420b41f5af982a515dfc7fa6;;;;;;;;;;;;;;;
;;Name the common serving line of <B> and <A>?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/ontology/servingRailwayLine> ?uri . <A> <http://dbpedia.org/ontology/servingRailwayLine> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/ontology/servingRailwayLine> ?uri . ?a <http://dbpedia.org/ontology/servingRailwayLine> ?uri };ca1c1caf133340b8b5806acbabd956a1;;;;;;;;;;;;;;;
X;Sport;Name the common sports played at <B> and <A>?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/ontology/sport> ?uri . <A> <http://dbpedia.org/ontology/sport> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/ontology/sport> ?uri . ?a <http://dbpedia.org/ontology/sport> ?uri };da487a9e2aa64d0d900ccb99d5eb6fc5;Name the common sports played at <B> San Juan and <A>versity?;;;;;;;;;;;;;;
;General;Name the common university of <B> and <A>?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/ontology/university> ?uri . <A> <http://dbpedia.org/ontology/university> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/ontology/university> ?uri . ?a <http://dbpedia.org/ontology/university> ?uri };dbf6b1fd3ef142aa8fa7dadd70dcd502;;;;;;;;;;;;;;;
;Economy;Name the companies which are in cities under <A>?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/leaderName> <A> . ?uri <http://dbpedia.org/ontology/locationCity> ?x . ?uri a <http://dbpedia.org/ontology/Company> };select distinct ?a where { ?x <http://dbpedia.org/property/leaderName> ?a . ?uri <http://dbpedia.org/ontology/locationCity> ?x . ?uri a <http://dbpedia.org/ontology/Company> };fa5fce44a7e64b59826c7dba9a288670;;;;;;;;;;;;;;;
;Economy;Name the company founded by <A> located in <B> ?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/foundedBy> <A> . ?uri <http://dbpedia.org/ontology/locationCity> <B> . ?uri a <http://dbpedia.org/ontology/Company> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/ontology/foundedBy> ?a . ?uri <http://dbpedia.org/ontology/locationCity> ?b . ?uri a <http://dbpedia.org/ontology/Company> };30679d014e3749319a88ec1614bdb393;;;;;;;;;;;;;;;
;Economy;Name the company founded in <A> and provides <B> as service ?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/services> <B> . ?uri <http://dbpedia.org/property/foundation> <A> . ?uri a <http://dbpedia.org/ontology/Company> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/property/services> ?b . ?uri <http://dbpedia.org/property/foundation> ?a . ?uri a <http://dbpedia.org/ontology/Company> };2a6c65a45e7249bebfda9d7ab36715ad;;;;;;;;;;;;;;;
;Economy;Name the company founded in <A> and provides <B> as services ?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/foundation> <A> . ?uri <http://dbpedia.org/property/services> <B> . ?uri a <http://dbpedia.org/ontology/Company> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/property/foundation> ?a . ?uri <http://dbpedia.org/property/services> ?b . ?uri a <http://dbpedia.org/ontology/Company> };d91e9b0f8f0b4a2e8ebfa336a54bdde1;;;;;;;;;;;;;;;
;Economy;Name the company founded in <B> and <A> ?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/foundation> <B> . ?uri <http://dbpedia.org/property/products> <A> . ?uri a <http://dbpedia.org/ontology/Company> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/property/foundation> ?b . ?uri <http://dbpedia.org/property/products> ?a . ?uri a <http://dbpedia.org/ontology/Company> };534aa17cdbb94593be95eb3051ede21e;;;;;;;;;;;;;;;
;Economy;Name the company which produces <A> and has key person as <B> ?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/products> <A> . ?uri <http://dbpedia.org/property/keyPeople> <B> . ?uri a <http://dbpedia.org/ontology/Company> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/property/products> ?a . ?uri <http://dbpedia.org/property/keyPeople> ?b . ?uri a <http://dbpedia.org/ontology/Company> };0a6bea353ecd405497f5ceab8b5d3dc3;;;;;;;;;;;;;;;
X;Economy;Name the company which produces both <B> and <A> ?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/product> <B> . ?uri <http://dbpedia.org/property/products> <A> . ?uri a <http://dbpedia.org/ontology/Company> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/ontology/product> ?b . ?uri <http://dbpedia.org/property/products> ?a . ?uri a <http://dbpedia.org/ontology/Company> };2d4e39d0c0784adfb281198a892d3894;Name the company which produces both  <B>-18 E/F Hornet nad CH-46 <A> ?;;;;;;;;;;;;;;
;Economy;Name the company which provides <B> as service and also has a product named <A> ?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/services> <B> . ?uri <http://dbpedia.org/ontology/product> <A> . ?uri a <http://dbpedia.org/ontology/Company> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/property/services> ?b . ?uri <http://dbpedia.org/ontology/product> ?a . ?uri a <http://dbpedia.org/ontology/Company> };e9767fcb96f14efeaa05520dc4675f58;;;;;;;;;;;;;;;
;Economy;Name the company who owns <A> division?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/divisions> <A> . ?uri a <http://dbpedia.org/ontology/Company> };select distinct ?a where { ?uri <http://dbpedia.org/property/divisions> ?a . ?uri a <http://dbpedia.org/ontology/Company> };811423e6b0814c93a5bb6474579e9557;;;;;;;;;;;;;;;
;Economy;Name the company whose key person is <B> and produces <A>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/keyPeople> <B> . ?uri <http://dbpedia.org/property/products> <A> . ?uri a <http://dbpedia.org/ontology/Company> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/property/keyPeople> ?b . ?uri <http://dbpedia.org/property/products> ?a . ?uri a <http://dbpedia.org/ontology/Company> };59b915743bb142afb10240174db2a7d0;;;;;;;;;;;;;;;
;Economy;Name the company whose one of the product is <B> and has one of the key person as <A>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/product> <B> . ?uri <http://dbpedia.org/ontology/keyPerson> <A> . ?uri a <http://dbpedia.org/ontology/Company> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/ontology/product> ?b . ?uri <http://dbpedia.org/ontology/keyPerson> ?a . ?uri a <http://dbpedia.org/ontology/Company> };5cf13a5c4a1849c6afb4b1a429c18893;;;;;;;;;;;;;;;
;Economy;Name the company whose products is <A> and key person is <B>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/products> <A> . ?uri <http://dbpedia.org/ontology/keyPerson> <B> . ?uri a <http://dbpedia.org/ontology/Company> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/property/products> ?a . ?uri <http://dbpedia.org/ontology/keyPerson> ?b . ?uri a <http://dbpedia.org/ontology/Company> };4795bf86bb3c409aa3c9750d6092aa2f;;;;;;;;;;;;;;;
;Economy;Name the company whose products's predecessor is <A>?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/ontology/predecessor> <A> . ?uri <http://dbpedia.org/property/products> ?x . ?uri a <http://dbpedia.org/ontology/Company> };select distinct ?a where { ?x <http://dbpedia.org/ontology/predecessor> ?a . ?uri <http://dbpedia.org/property/products> ?x . ?uri a <http://dbpedia.org/ontology/Company> };2de2ea8f7f994e38898f57b6b90b2088;;;;;;;;;;;;;;;
;Economy;Name the company with product lines <B> and <A> ?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/products> <B> . ?uri <http://dbpedia.org/ontology/product> <A> . ?uri a <http://dbpedia.org/ontology/Company> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/property/products> ?b . ?uri <http://dbpedia.org/ontology/product> ?a . ?uri a <http://dbpedia.org/ontology/Company> };a3c5942a30ca4e078b7cac835d4eb065;;;;;;;;;;;;;;;
;Economy;Name the company with product named <A> and provides <B> as a service ?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/product> <A> . ?uri <http://dbpedia.org/property/services> <B> . ?uri a <http://dbpedia.org/ontology/Company> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/ontology/product> ?a . ?uri <http://dbpedia.org/property/services> ?b . ?uri a <http://dbpedia.org/ontology/Company> };05243a944c564231bfbdcc7577bf0492;;;;;;;;;;;;;;;
;Music;Name the composer of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/composer> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/composer> ?uri };9b3d41fd10154e0099da01bfaf7daf4a;;;;;;;;;;;;;;;
;;Name the console whose successor is <A> and predecessor is <B>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/successor> <A> . ?uri <http://dbpedia.org/property/predecessor> <B> . ?uri a <http://dbpedia.org/ontology/InformationAppliance> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/ontology/successor> ?a . ?uri <http://dbpedia.org/property/predecessor> ?b . ?uri a <http://dbpedia.org/ontology/InformationAppliance> };ac50f52a09154c0483346c70133cd0e4;;;;;;;;;;;;;;;
;;Name the constituency of  <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/constituency> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/constituency> ?uri };a5012e9aba5b40bbbc06155442c8940c;;;;;;;;;;;;;;;
;;Name the constituency of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/constituency> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/constituency> ?uri };416fe4e82425427cb42f2d36b6e64527;;;;;;;;;;;;;;;
;General;Name the constituency of <B> <A> born ?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/property/constituency> ?uri . <A> <http://dbpedia.org/property/birthPlace> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/property/constituency> ?uri . ?a <http://dbpedia.org/property/birthPlace> ?uri };f67fb0a1674440259432e6bf7019bf1a;;;;;;;;;;;;;;;
;;Name the country whose leader's deputy is <A>?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/deputy> <A> . ?uri <http://dbpedia.org/property/leaderName> ?x . ?uri a <http://dbpedia.org/ontology/Country> };select distinct ?a where { ?x <http://dbpedia.org/property/deputy> ?a . ?uri <http://dbpedia.org/property/leaderName> ?x . ?uri a <http://dbpedia.org/ontology/Country> };16031b0772124f5996cbdab932ed9852;;;;;;;;;;;;;;;
;;Name the country with currency as <A> ?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/currency> <A> . ?uri a <http://dbpedia.org/ontology/Country> };select distinct ?a where { ?uri <http://dbpedia.org/ontology/currency> ?a . ?uri a <http://dbpedia.org/ontology/Country> };019a5359e534491181604839d176cdff;;;;;;;;;;;;;;;
;Music;Name the cover artist of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/coverArtist> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/coverArtist> ?uri };9496ce7155814acaac417eb27fd22cc1;;;;;;;;;;;;;;;
;Sport;Name the current club of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/currentclub> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/currentclub> ?uri };4c68e37c40ea4e44950037ef974d5879;;;;;;;;;;;;;;;
;General;Name the death location of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/deathPlace> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/deathPlace> ?uri };9f44883aeb3c401c89e1465ab2006426;;;;;;;;;;;;;;;
;Sport;Name the debut team of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/debutTeam> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/debutTeam> ?uri };509e179ae21a44d68ac494defe1b32e7;;;;;;;;;;;;;;;
;Sport;Name the debut team of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/debutTeam> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/debutTeam> ?uri };02172a58699f46568edf1ba7690b144d;;;;;;;;;;;;;;;
;;Name the directors of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/director> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/director> ?uri };6689a88cf3af48998efaa96b5466f7cb;;;;;;;;;;;;;;;
